name,discount,url,number,sold_number,text,,,6
SHEIN EZwear Solid Elastic Waist Slant Pocket Sweatpants,0.05,//img.ltwebstatic.com/images3_pi/2021/08/04/162807432750b234398e1fb79074240a778d65d3e6_thumbnail_405x552.jpg,64,5429,"['Light Grey ', 'Plain ', 'Jogger ', 'High Waist ', 'Pocket ', 'Long ', 'Regular Fit ', 'Elastic Waist ', 'Slight Stretch ', 'Fabric ', '97% Polyester, 3% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN LUNE Knot Front Pocket Patched Overall Romper Without Tube Top,0.02,//img.ltwebstatic.com/images3_pi/2022/06/02/165415773556178b57fce29d1dc10271b3971708e6_thumbnail_405x552.jpg,46,1920,"['Black ', 'Casual ', 'Plain ', 'Overall ', 'Straps ', 'Knot, Pocket ', 'Short ', 'Loose ', 'Sleeveless ', 'Natural ', 'Non-Stretch ', 'Fabric ', '97% Polyester, 3% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear 3pcs Solid Drawstring Waist Shorts,0.01,//img.ltwebstatic.com/images3_pi/2020/12/30/16093184799274a1f8e57bd62bfe92b00129998181_thumbnail_405x552.jpg,49,1364,"['Multicolor ', 'Casual ', 'Track Shorts ', 'Drawstring Waist ', 'Drawstring ', 'Natural ', 'Short ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ', '3 Piece Set ']",,,
SHEIN EZwear Ripped Raw Trim Denim Shorts,0.03,//img.ltwebstatic.com/images3_pi/2023/02/01/16752277162c0ad26613abacc9f54b3ef65bcab145_thumbnail_405x552.jpg,45,3027,"['Light Wash ', 'Plain ', 'Straight Leg ', 'Zipper Fly ', 'Button, Pocket, Raw Hem, Ripped, Zipper ', 'Natural ', 'Short ', 'Regular Fit ', 'High Stretch ', 'Denim ', '70% Cotton, 28% Polyester, 2% Elastane ', 'Machine wash, do not dry clean ', 'No ']",,,
SHEIN BAE Solid Fitted Tee,0.02,//img.ltwebstatic.com/images3_pi/2021/12/17/1639722742476e4ba1da50fd03020695eb4bcab725_thumbnail_405x552.jpg,31,2306,"['Black ', 'Casual ', 'Plain ', 'Round Neck ', 'Short Sleeve ', 'Regular Sleeve ', 'Regular ', 'Slim Fit ', 'High Stretch ', 'Fabric ', '87% Polyamide, 13% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Solid Slant Pocket Wide Leg Pants,0,//img.ltwebstatic.com/images3_pi/2023/03/16/167893495771f3cd4c06feb5a815aafe058c36c8a8_thumbnail_405x552.jpg,57,398,"['Apricot ', 'Casual ', 'Plain ', 'Wide Leg ', 'Elastic Waist ', 'Pocket ', 'Drop Waist ', 'Extra Long ', 'Loose ', 'Non-Stretch ', 'Woven Fabric ', '70% Viscose, 30% Linen ', 'Hand wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear Slant Pocket High Waist Boyfriend Jeans,0.01,//img.ltwebstatic.com/images3_pi/2022/09/13/16630359967de6f15fe20cc131cba09c28c1967fca_thumbnail_405x552.jpg,48,1174,"['Medium Wash ', 'Plain ', 'Wide Leg ', 'Boyfriend Fit ', 'Zipper Fly ', 'Button, Pocket, Zipper ', 'High Waist ', 'Long ', 'Loose ', 'Non-Stretch ', 'Denim ', '85% Cotton, 15% Polyester ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear Ripped Raw Cut Denim Shorts,0.02,//img.ltwebstatic.com/images3_pi/2022/07/04/1656911385f09a9606c08c3bb7917a302467479b6d_thumbnail_405x552.jpg,50,2494,"['Light Wash ', 'Plain ', 'Straight Leg ', 'Zipper Fly ', 'Pocket, Raw Hem, Ripped, Zipper, Button Front ', 'Natural ', 'Short ', 'Regular Fit ', 'Non-Stretch ', 'Denim ', '89% Cotton, 6% Polyester, 5% Viscose ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear Solid Drawstring Pocket Zip Up Thermal Lined Hoodie,0.01,//img.ltwebstatic.com/images3_pi/2021/10/09/163376204100f504e7f0afd7fea8373171478018b2_thumbnail_405x552.jpg,29,1477,"['Light Grey ', 'Casual ', 'Plain ', 'Zipper ', 'Zip Up ', 'Hooded ', 'Long Sleeve ', 'Drop Shoulder ', 'Regular ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'Yes ', 'No ']",,,
SHEIN EZwear 3 Pack Tie Front Track Shorts,0.02,//img.ltwebstatic.com/images3_pi/2021/03/05/16149155234c916f978eb553372d01bac8248676af_thumbnail_405x552.jpg,55,1860,"['Multicolor ', 'Casual ', 'Plain ', 'Track Shorts ', 'Elastic Waist ', 'Tie Front ', 'High Waist ', 'Short ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Backless Batwing Sleeve Solid Tee,0.02,//img.ltwebstatic.com/images3_pi/2022/05/06/165180795256d8df60e434f56ff33e3fe903298a15_thumbnail_405x552.jpg,5,1599,"['Black ', 'Sexy ', 'Plain ', 'Boat Neck ', 'Backless ', 'Cap Sleeve ', 'Batwing Sleeve ', 'Crop ', 'Slim Fit ', 'Medium Stretch ', 'Fabric ', '94% Viscose, 6% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear 3pcs Solid Tank Top,0.03,//img.ltwebstatic.com/images3_pi/2021/12/21/1640065328b1dc6fe29a6098fa0920dba65b2a4c85_thumbnail_405x552.jpg,50,2572,"['Multicolor ', 'Casual ', 'Plain ', 'Tank ', 'Scoop Neck ', 'Crop ', 'Regular Fit ', 'Slight Stretch ', 'Machine wash or professional dry clean ', 'Knitted Fabric ', '94.6% Cotton, 5.4% Elastane ', 'No ']",,,
SHEIN Essnce Patched Pocket Drop Shoulder Shirt & Knot Front Shorts,0.02,//img.ltwebstatic.com/images3_pi/2022/03/28/1648446398902bc66a4c6c0619a05953a46eef08ce_thumbnail_405x552.jpg,51,1818,"['Apricot ', 'Casual ', 'Plain ', 'Drawstring, Button Front ', 'Collar ', 'Blouse ', 'Shorts ', 'Fabric ', '100% Polyester ', 'Short Sleeve ', 'Drop Shoulder ', 'Regular Fit ', 'Slight Stretch ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Balletcore Ribbed Knit Raglan Sleeve Shrug Crop Cardigan Without Cami Top,0.01,//img.ltwebstatic.com/images3_pi/2022/12/26/16720216210c35fe11ead4580a8e87255d1944da06_thumbnail_405x552.jpg,47,1090,"['Black ', 'Casual ', 'Plain ', 'Square Neck ', 'Rib-Knit ', 'Long Sleeve ', 'Regular Sleeve ', 'Crop ', 'Slim Fit ', 'High Stretch ', 'Knitted Fabric ', '67% Polyester, 30% Viscose, 3% Elastane ', 'Machine wash or professional dry clean ', 'No ', 'No ', 'Unlined ', 'No ', 'No ']",,,
SHEIN EZwear Square Neck Crop Tee,0.02,//img.ltwebstatic.com/images3_pi/2023/01/09/16732260489691cc12e5bfc7ba47e926544094c99e_thumbnail_405x552.jpg,32,1890,"['White ', 'Casual ', 'Plain ', 'Bolero, Asymmetrical, Rib-Knit ', 'Crop ', 'Long Sleeve ', 'Raglan Sleeve ', 'Regular Fit ', 'Slight Stretch ', 'Worsted ', '100% Acrylic ', 'Hand wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Solid High Waist Flap Pocket Cargo Pants,0.01,//img.ltwebstatic.com/images3_pi/2021/11/09/1636471319b722f13250e35aff846291708204ec73_thumbnail_405x552.jpg,33,991,"['Black ', 'Casual ', 'Cartoon, Slogan ', 'Round Neck ', 'Half Sleeve ', 'Drop Shoulder ', 'Long ', 'Oversized ', 'Non-Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN Clasi Ditsy Floral Print Butterfly Sleeve Blouse,0,//img.ltwebstatic.com/images3_pi/2023/02/21/1676970448db78d8f3b14db80539c27e4a4cd77cb6_thumbnail_405x552.jpg,41,445,"['Black ', 'Casual ', 'Plain ', 'Cargo Pants ', 'Elastic Waist ', 'Pocket ', 'High Waist ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN BASICS Solid Crop Tube Top,0.02,//img.ltwebstatic.com/images3_pi/2022/04/01/16487766225a79ff06d3fc34aca8c6436e25939a90_thumbnail_405x552.jpg,71,2043,"['Pink ', 'Boho ', 'Ditsy Floral ', 'Top ', 'Round Neck ', 'Ruffle ', 'Cap Sleeve ', 'Flounce Sleeve ', 'Regular ', 'Regular Fit ', 'Non-Stretch ', 'Woven Fabric ', '100% Polyester ', 'Hand wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Expression & Slogan Graphic Drop Shoulder Tee,0.04,//img.ltwebstatic.com/images3_pi/2022/09/17/16633931438ee91b6022f5667641736be8c92830fc_thumbnail_405x552.jpg,65,3949,"['Grey ', 'Casual ', 'Tie Dye ', 'Round Neck ', 'Half Sleeve ', 'Drop Shoulder ', 'Long ', 'Oversized ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Overlap Waist Flare Leg Pants,0.01,//img.ltwebstatic.com/images3_pi/2022/10/28/16669343404079fb9c8b406531cfbfcf89d63189b3_thumbnail_405x552.jpg,5,722,"['Black ', 'Casual ', 'Plain ', 'Strapless ', 'Sleeveless ', 'Crop ', 'Slim Fit ', 'Medium Stretch ', 'Machine wash, do not dry clean ', 'No ']",,,
SHEIN VCAY Allover Plant Print Notch Neck Ruffle Hem Dress,0.01,//img.ltwebstatic.com/images3_pi/2022/06/29/1656481645971d6e3c62d1e41d2ebbf3e4c0de93be_thumbnail_405x552.jpg,60,732,"['Black ', 'Casual ', 'Plain ', 'Flare Leg ', 'Elastic Waist ', 'High Waist ', 'Long ', 'Regular Fit ', 'Medium Stretch ', 'Knitted Fabric ', '90% Polyester, 10% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
Hollow Out Cover Up Dress Without Bikini,0.01,//img.ltwebstatic.com/images3_pi/2022/06/06/16545021898ec38f3ab441d90b70997e64851cfb38_thumbnail_405x552.jpg,51,1140,"['Multicolor ', 'Boho ', 'Plants, All Over Print ', 'Ruffle Hem ', 'Notched ', 'Smock ', 'Sleeveless ', 'High Waist ', 'Flounce ', 'Short ', 'Loose ', 'Non-Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear Tie Dye Drop Shoulder Oversized Tee,0.01,//img.ltwebstatic.com/images3_pi/2022/06/24/1656051560e4c4c826c630fda1ee1d9d08b96d1ec9_thumbnail_405x552.jpg,14,720,"['Khaki ', 'Plain ', 'Spaghetti Strap ', 'Sleeveless ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Hand wash or professional dry clean ', 'Yes ']",,,
